,x_0,y_0,delta_0,v_0,phi_0,phi_dot_0,beta_0,theta_0,stvel_0,acc_0,comp_0,oob_0
63,-6.965938,-46.17348,0.022953162,5.05839,1.7109923,0.42859325,-0.00936096,8.766419,3.1999626,9.509883,0.044025756,0.0
64,-6.972537,-46.12333,0.05495279,5.153489,1.7152783,0.33604655,-0.011249544,8.817003,-3.1999977,9.509986,0.044467483,0.0
65,-6.979383,-46.07225,0.022952812,5.248589,1.7186388,0.31959993,-0.011315628,8.868539,1.1007586,9.509963,0.043484226,0.0
66,-6.9865265,-46.020252,0.0339604,5.3436885,1.7218348,0.24902317,-0.012200068,8.911024,-3.1370983,9.509967,0.046620537,0.0
67,-6.9939218,-45.96733,0.0025894153,5.4387884,1.724325,0.21295454,-0.012146215,8.964461,-3.1998944,9.509956,0.0465164,0.0
68,-7.001586,-45.913483,-0.02940953,5.533888,1.7264545,0.1281171,-0.012687217,9.018849,-2.2448192,9.509966,0.04518386,0.0
69,-7.0094705,-45.85871,-0.05185772,5.6289873,1.7277358,0.0016103109,-0.013329201,9.074188,-0.95991313,9.509957,0.043165203,0.0
70,-7.0175266,-45.803,-0.06145685,5.724087,1.7277519,-0.14098927,-0.013418533,9.130478,-3.1998138,9.509941,0.04966618,0.0
71,-7.025715,-45.746346,-0.093454994,5.8191867,1.726342,-0.27154285,-0.012509264,9.187718,3.1973586,9.509939,0.045179702,0.0
72,-7.03401,-45.68875,-0.061481405,5.9142857,1.7236265,-0.43142855,-0.011342814,9.245911,-3.199919,9.509888,0.04458617,0.0
73,-7.04235,-45.6302,-0.093480594,6.0093846,1.7193122,-0.4964472,-0.008061425,9.305054,3.1998591,9.509931,0.044560894,0.0
74,-7.0507627,-45.570694,-0.061482,6.104484,1.7143477,-0.59746575,-0.0052588037,9.365148,-3.1999254,9.509887,0.04428687,0.0
75,-7.059178,-45.510235,-0.09348126,6.199583,1.7083731,-0.611178,-0.0010008798,9.426192,3.1999555,9.509972,0.043930624,0.0
76,-7.067619,-45.448814,-0.0614817,6.2946825,1.7022613,-0.6682991,0.00228895,9.488188,-3.1999786,9.509963,0.044439185,0.0
77,-7.076013,-45.38643,-0.09348149,6.3897824,1.6955783,-0.6456833,0.006603529,9.551135,3.1999266,9.509948,0.04340988,0.0
78,-7.084384,-45.323082,-0.06148222,6.484882,1.6891215,-0.67332095,0.009664607,9.615032,-3.1999564,9.509913,0.045087006,0.0
79,-7.0926614,-45.258766,-0.09348179,6.579981,1.6823883,-0.6278224,0.013502242,9.679881,3.1998568,9.5098915,0.04343519,0.0
80,-7.100871,-45.193478,-0.06148322,6.67508,1.67611,-0.6382197,0.015955893,9.745681,-3.1999485,9.509893,0.060324382,0.0
81,-7.1089463,-45.12722,-0.0934827,6.770179,1.6697278,-0.58071643,0.019071532,9.812432,3.1999557,9.509963,0.044007346,0.0
82,-7.1169167,-45.059986,-0.06148315,6.8652782,1.6639206,-0.5833403,0.020781105,9.880134,-3.1999657,9.509924,0.04492894,0.0
83,-7.1247196,-44.99178,-0.09348281,6.9603777,1.6580873,-0.52186894,0.023128057,9.948787,3.1998966,9.509907,0.043350488,0.0
84,-7.1323895,-44.9226,-0.061483838,7.0554767,1.6528686,-0.52339435,0.024115419,10.018391,-3.199979,9.509951,0.04413271,0.0
85,-7.139868,-44.852444,-0.09348363,7.150576,1.6476346,-0.46332747,0.025769543,10.088945,3.1999435,9.509943,0.04412085,0.0
86,-7.147192,-44.781315,-0.06148419,7.2456756,1.6430013,-0.46794078,0.026147634,10.160451,-3.199944,9.509859,0.044075675,0.0
87,-7.154307,-44.709206,-0.093483634,7.340774,1.638322,-0.4123859,0.02724834,10.232907,3.1999595,9.509954,0.044953194,0.0
88,-7.1612535,-44.636127,-0.06148404,7.435592,1.6341981,-0.42287305,0.027167404,10.306315,-3.1999614,9.509895,0.042782474,0.0
89,-7.167979,-44.562077,-0.09348366,7.529201,1.6299694,-0.375692,0.027872324,10.3806715,3.1999674,9.509961,0.0441893,0.0
90,-7.1745243,-44.487072,-0.06148398,7.621646,1.6262125,-0.3968613,0.027496664,10.455963,-3.1999645,9.509895,0.043820374,0.0
91,-7.180836,-44.411114,-0.09348363,7.71297,1.6222439,-0.35837027,0.028018698,10.53218,3.1999695,9.50996,0.04403048,0.0
92,-7.186959,-44.33423,-0.06148393,7.803212,1.6186601,-0.38807818,0.027554197,10.609309,-3.1999254,9.509769,0.043540683,0.0
93,-7.1928387,-44.25642,-0.09348319,7.8924108,1.6147794,-0.3559564,0.028065432,10.687342,3.1999893,9.509985,0.043553475,0.0
94,-7.1985197,-44.1777,-0.06148329,7.9806013,1.6112198,-0.3917092,0.027651861,10.766266,-3.199986,9.509955,0.049719214,0.0
95,-7.2039485,-44.09808,-0.09348315,8.067818,1.6073027,-0.36354822,0.028260207,10.846072,3.1999698,9.509954,0.044406213,0.0
96,-7.2091703,-44.01757,-0.061483454,8.154091,1.6036673,-0.4029865,0.027976934,10.92675,-3.1999607,9.509869,0.043643944,0.0
97,-7.2141285,-43.93618,-0.09348306,8.239451,1.5996374,-0.37666318,0.02873538,11.008291,3.1999545,9.509921,0.045077037,0.0
98,-7.21887,-43.85392,-0.061483517,8.323927,1.5958707,-0.41782686,0.02861314,11.090685,-3.1999242,9.509748,0.046179682,0.0
99,-7.2233367,-43.7708,-0.093482755,8.407546,1.5916924,-0.39168155,0.029532913,11.173924,3.1999793,9.509964,0.044737604,0.0
100,-7.227575,-43.686832,-0.061482966,8.490334,1.5877756,-0.4331196,0.029567497,11.258,-3.1999433,9.509804,0.044176206,0.0
101,-7.2315254,-43.60202,-0.0934824,8.572313,1.5834445,-0.4060068,0.030631704,11.342903,3.1999135,9.509827,0.043068156,0.0
102,-7.2352343,-43.51638,-0.061483264,8.653509,1.5793843,-0.44677886,0.030797109,11.428627,-3.1999798,9.509921,0.04822198,0.0
103,-7.2386417,-43.429913,-0.09348306,8.733943,1.5749166,-0.41803554,0.03197298,11.5151615,3.1999316,9.509842,0.048062686,0.0
104,-7.241793,-43.34263,-0.061483745,8.813637,1.5707363,-0.45764887,0.032232586,11.602501,-3.199982,9.509917,0.04383503,0.0
105,-7.2446284,-43.25454,-0.09348356,8.89261,1.5661597,-0.42700586,0.03348142,11.690638,3.1999211,9.50978,0.043309767,0.0
106,-7.247193,-43.16565,-0.06148435,8.9708805,1.5618896,-0.46531418,0.03379652,11.779564,-3.1999416,9.497102,0.044584036,0.0
107,-7.249426,-43.07597,-0.09348377,9.04847,1.5572366,-0.4327954,0.03508072,11.869272,3.1999695,9.509907,0.04429764,0.0
108,-7.251373,-42.985504,-0.061484072,9.125392,1.5529085,-0.4698966,0.035416223,11.959757,-3.1999862,8.834988,0.04511625,0.0
109,-7.252972,-42.894264,-0.09348394,9.201667,1.5482097,-0.4357152,0.036703788,12.051011,3.1999433,8.601797,0.043245528,0.0
110,-7.254271,-42.802258,-0.061484504,9.277309,1.5438524,-0.47185534,0.03703151,12.143027,-3.199954,7.8196645,0.04347732,0.0
111,-7.255207,-42.709488,-0.093484044,9.352335,1.5391339,-0.43633008,0.038298205,12.235801,3.1999602,7.3355207,0.043580905,0.0
112,-7.255828,-42.615967,-0.06148444,9.425691,1.5347706,-0.47454265,0.038589243,12.329324,-3.199911,5.924059,0.04320144,0.0
113,-7.256069,-42.52171,-0.09348355,9.484931,1.5300252,-0.46850613,0.03978111,12.423581,3.1999595,5.9771957,0.04532567,0.0
114,-7.2559752,-42.42686,-0.061483957,9.544703,1.5253401,-0.5345453,0.040246468,12.518431,-3.1999683,5.1714244,0.04776197,0.0
115,-7.2554784,-42.331417,-0.09348364,9.596417,1.5199946,-0.5342349,0.041941866,12.613877,3.199946,5.3182445,0.045314673,0.0
116,-7.254628,-42.235455,-0.06148418,9.6496,1.5146524,-0.6053131,0.042923037,12.709842,-3.1999154,4.1446924,0.045658357,0.0
117,-7.253352,-42.138966,-0.093483336,9.691047,1.5085992,-0.61459833,0.045161676,12.806337,3.1999776,4.4397793,0.045068573,0.0
118,-7.2517014,-42.042072,-0.06148356,9.735444,1.5024532,-0.69396347,0.04672662,12.903248,-3.1999571,3.1608257,0.04527817,0.0
119,-7.249597,-41.94474,-0.09348313,9.767053,1.4955136,-0.7098736,0.049626555,13.000603,3.1999624,3.4717894,0.044232566,0.0
120,-7.2470913,-41.8471,-0.061483506,9.80177,1.4884149,-0.79825634,0.051849466,13.098273,-3.1505148,2.8029056,0.04461396,0.0
121,-7.244099,-41.74913,-0.092988655,9.8298,1.4804323,-0.80389756,0.055514686,13.196291,3.199966,2.7613232,0.044704337,0.0
122,-7.2406745,-41.65089,-0.060988992,9.857413,1.4723933,-0.8931111,0.058340725,13.284589,-1.2215363,2.3286805,0.045855273,0.0
123,-7.2367263,-41.552395,-0.07320436,9.8807,1.4634622,-0.8909114,0.06261646,13.3831625,3.1999693,2.172834,0.050883945,0.0
124,-7.2323093,-41.453686,-0.041204665,9.902428,1.4545531,-0.92355275,0.066369064,13.48197,-0.8357839,1.7298232,0.044826522,0.0
125,-7.2273726,-41.354786,-0.049562503,9.919726,1.4453175,-0.8683925,0.07099342,13.580994,3.199949,1.6930915,0.044394635,0.0
126,-7.2219706,-41.255737,-0.017563015,9.936657,1.4366336,-0.8406111,0.07464054,13.680191,-1.7750168,1.2479016,0.044455145,0.0
127,-7.2160597,-41.156544,-0.03531318,9.949136,1.4282275,-0.7302177,0.07859296,13.779558,3.199959,1.2298459,0.044998214,0.0
128,-7.2096987,-41.05726,-0.003313592,9.961434,1.4209254,-0.68294805,0.08082647,13.879049,-1.2566804,0.8745086,0.047524244,0.0
129,-7.2028265,-40.957882,-0.015880395,9.97018,1.4140959,-0.5524782,0.083260715,13.978663,3.1999538,0.8166436,0.04375282,0.0
130,-7.195511,-40.858448,0.016119143,9.978346,1.4085711,-0.4751716,0.08397473,14.078365,-2.4269605,0.53199404,0.0444011,0.0
131,-7.187711,-40.75897,-0.008150461,9.983666,1.4038193,-0.3152053,0.08468352,14.178149,3.1999435,0.53067076,0.044887293,0.0
132,-7.1795044,-40.65947,0.023848973,9.988973,1.4006673,-0.24834928,0.08317274,14.277986,-2.5307167,0.31510448,0.04520151,0.0
133,-7.1708293,-40.55996,-0.0014581919,9.992124,1.3981838,-0.0958279,0.08188017,14.377875,3.1999586,0.30091703,0.045687497,0.0
134,-7.1617756,-40.46045,0.030541394,9.995133,1.3972255,-0.04106621,0.07851331,14.477797,-2.345275,0.16567361,0.04551376,0.0
135,-7.1522884,-40.360947,0.0070886454,9.99679,1.3968148,0.103000805,0.0755832,14.577747,1.9078255,0.1400957,0.046468224,0.0
136,-7.142468,-40.261463,0.026166901,9.998191,1.3978449,0.1545711,0.070789404,14.677715,-1.2037578,0.07817288,0.045813978,0.0
137,-7.1322713,-40.162003,0.014129323,9.998972,1.3993906,0.2567733,0.06621455,14.777698,0.1899401,0.050420057,0.04553334,0.0
138,-7.121773,-40.062565,0.016028725,9.999476,1.4019583,0.30637524,0.060561568,14.877687,0.08760453,0.025264079,0.042694192,0.0
139,-7.1109667,-39.963158,0.01690477,9.999729,1.405022,0.3530558,0.054759245,14.977682,0.09545771,0.012879989,0.043183014,0.0
140,-7.0998883,-39.863777,0.017859345,9.999858,1.4085526,0.39411205,0.0488183,15.07768,0.5734942,0.008357084,0.044499066,0.0
141,-7.08857,-39.76442,0.023594288,9.999942,1.4124937,0.43050972,0.042803653,15.167678,0.5129724,0.00284769,0.043678224,0.0
142,-7.077046,-39.665085,0.028724013,9.99997,1.4167988,0.47792953,0.0368859,15.267677,1.2428923,0.0026263192,0.04341953,0.0
143,-7.0653615,-39.565773,0.041152935,9.999996,1.4215782,0.5333151,0.030935124,15.367677,1.0940479,0.00071224174,0.048635326,0.0
144,-7.0535607,-39.46647,0.052093416,10.000004,1.4269112,0.61892277,0.025057912,15.467677,0.95629424,0.0040753987,0.04846392,0.0
145,-7.041706,-39.367176,0.061656356,10.000044,1.4331005,0.7266487,0.018912412,15.5676775,0.81625706,0.0016209751,0.04810495,0.0
146,-7.0298557,-39.26788,0.06981893,10.00006,1.440367,0.8494728,0.012258318,15.667678,0.67483026,0.0022503128,0.043966755,0.0
147,-7.018066,-39.168575,0.07656723,10.000083,1.4488617,0.98097855,0.004936724,15.767678,0.624546,0.0046071545,0.04377228,0.0
148,-7.006393,-39.06926,0.08281269,10.000129,1.4586716,1.1153365,-0.0031395312,15.867679,0.5279581,0.002849236,0.043306824,0.0
149,-6.9948916,-38.96992,0.08809227,10.000157,1.4698249,1.2502898,-0.011971888,15.96768,0.38353452,0.0047882223,0.04348929,0.0
150,-6.983621,-38.870556,0.09192762,10.000205,1.4823278,1.3822765,-0.021551313,16.067682,0.20494469,0.0048398334,0.046908785,0.0
151,-6.972641,-38.77116,0.093977064,10.000254,1.4961505,1.5066999,-0.031845644,16.167685,0.007483247,0.0043793903,0.04667209,0.0
152,-6.962012,-38.671722,0.0940519,10.000298,1.5112176,1.6184025,-0.042787403,16.257687,-0.20198078,0.0046494696,0.044269033,0.0
