inner_point, midpoint, outer_point, 
[1.4495409231428482, -0.5167636334004868], [0.15599425572892756, 0.11334872811069374], [-1.1375524116850215, 0.7434610896218601], 
[-71.87612615427547, -16.923519220117043], [-72.44827398150046, -18.229785603400117], [-73.02042180872546, -19.53605198668319], 
[-70.4535689381477, -17.502884421667986], [-70.95425483895511, -18.841203745602982], [-71.4549407397625, -20.17952306953798], 
[-69.03743204414585, -18.04651579123093], [-69.51655116155602, -19.39583136409111], [-69.9956702789662, -20.745146936951272], 
[-67.268193071742, -18.707602979306984], [-67.82579487546761, -20.02795116923788], [-68.38339667919321, -21.348299359168777], 
[-65.30714026971964, -19.56299285247175], [-65.85226152686813, -20.887603851968777], [-66.39738278401664, -22.212214851465816], 
[-62.30893646901188, -20.962246104976742], [-62.88966564736765, -22.268191506167028], [-63.47039482572343, -23.574136907357314], 
[-59.34265886807951, -22.17635992996459], [-59.80889987262911, -23.52368830789095], [-60.275140877178714, -24.87101668581728], 
[-57.47387931233396, -22.730420418446187], [-57.78674105199464, -24.13137289711129], [-58.09960279165527, -25.53232537577641], 
[-56.53978598804139, -22.90626360588827], [-56.7816536460501, -24.320087074296936], [-57.02352130405882, -25.73391054270563], 
[-55.36834325319647, -23.09244629427218], [-55.567621862377635, -24.51003197685992], [-55.766900471558785, -25.92761765944769], 
[-54.05920834816109, -23.289161918586828], [-54.28469176236922, -24.702467034673205], [-54.510175176577334, -26.11577215075961], 
[-52.58587892859971, -23.52666035919482], [-52.80180927245887, -24.941274763362856], [-53.01773961631807, -26.355889167530876], 
[-51.33887654983876, -23.73660873307847], [-51.51717877611864, -25.15359859864712], [-51.695481002398495, -26.57058846421579], 
[-50.06558009771051, -23.872766642652437], [-50.144749775660955, -25.29233758196257], [-50.22391945361139, -26.711908521272676], 
[-48.334359689777656, -23.929216343853426], [-48.36685306691412, -25.356139644953558], [-48.39934644405055, -26.78306294605366], 
[-46.69139305334562, -23.909328856980125], [-46.596988443925696, -25.32988238298863], [-46.5025838345058, -26.750435908997147], 
[-45.22688485200089, -23.709270888182033], [-44.99396264772582, -25.1221992784387], [-44.76104044345074, -26.53512766869538], 
[-42.977014276742565, -23.218517187930857], [-42.676089106750936, -24.615604434852273], [-42.37516393675931, -26.01269168177369], 
