inner_point, midpoint, outer_point, 
[-74.94762333652773, -85.33296040823939], [-75.01207197747053, -82.91388201707004], [-75.07652061841331, -80.49480362590067], 
[-97.90509360261906, 14.965309093942082], [-97.003477147995, 12.794382016334836], [-96.10186069337092, 10.62345493872759], 
[-95.05570925815107, 16.125654566623965], [-93.97193448151302, 14.013575220799922], [-92.88815970487495, 11.901495874975879], 
[-91.54001051806937, 17.29817414954131], [-90.89276489675483, 15.028452784586321], [-90.24551927544029, 12.758731419631332], 
[-87.926128993064, 18.227703772497378], [-87.39422315641585, 15.922807881130112], [-86.86231731976771, 13.617911989762817], 
[-84.2214995192668, 18.910956293976895], [-84.16026923205183, 16.520981522265473], [-84.09903894483686, 14.13100675055405], 
[-81.7050025336445, 19.22801408327122], [-81.21875948906909, 16.88148037373243], [-80.73251644449367, 14.534946664193669], 
[-79.71634650570498, 19.377328433461585], [-79.59108197373772, 16.999954592519956], [-79.46581744177044, 14.622580751578354], 
[-77.5588226311063, 19.434189856795214], [-77.56143369973304, 17.061112532532277], [-77.5640447683598, 14.68803520826934], 
[-75.44226298886385, 19.429607347171256], [-75.55241754432495, 17.05230937903842], [-75.66257209978605, 14.675011410905611], 
[-73.33576976545805, 19.36281973689138], [-73.47765719736032, 16.969667992180447], [-73.76406457008038, 14.584316834096725], 
[-70.50495169597028, 19.100532359891318], [-70.87344586792375, 16.722248757116844], [-71.24194003987724, 14.343965154342428], 
[-67.73198011612101, 18.693522140824555], [-68.23406117728956, 16.33120187701944], [-68.73614223845813, 13.96888161321435], 
[-65.030551146091, 18.15498141742445], [-65.6417698333274, 15.807980821013231], [-66.2529885205638, 13.460980224602011], 
[-62.38729282331481, 17.48121464173208], [-63.09304453212492, 15.151694822063448], [-63.79879624093505, 12.822175002394815], 
[-59.788833185227034, 16.6685262657886], [-60.5843579697698, 14.361453113135425], [-61.37988275431259, 12.054379960482223], 
[-57.2218002692623, 15.713220741635084], [-58.27199159991535, 13.500034366437532], [-59.002565415437175, 11.159509112753668], 
[-54.99091406224453, 14.757432587099075], [-56.120794614597685, 12.581773232734989], [-57.25067516695084, 10.406113878370846], 
[-52.83621008164715, 13.721697691456725], [-53.8987811515624, 11.507581828921232], [-54.96135222147767, 9.293465966385767], 
[-50.241082844096226, 12.305739034324304], [-51.48604049669241, 10.182372410552475], [-52.730998149288595, 8.059005786780645], 
[-47.73060939823948, 10.742935567168573], [-49.1482698516819, 8.723791460306742], [-50.56593030512434, 6.704647353444926], 
[-45.3116379436143, 9.039255548754838], [-46.636333148403054, 6.942631910878092], [-47.961028353191836, 4.84600827300136], 
[-42.99101667975812, 7.20066723784835], [-44.72396969979569, 5.42227950949389], [-46.4569227198333, 3.643891781139473], 
[-41.13723488227669, 5.5697611704090235], [-42.654028189419975, 3.5901380510059795], [-44.17082149656326, 1.6105149316029213], 
[-39.014708597517696, 3.4993418842255295], [-40.73069496578837, 1.6941747699253824], [-42.44668133405902, -0.1109923443747931], 
[-37.0099357355503, 1.3109243720508488], [-38.91400950153232, -0.3006603520440194], [-40.81808326751434, -1.9122450761389018], 
[-35.1297644959119, -0.9895231073498252], [-37.02494315249598, -2.6295554735787903], [-38.92012180908009, -4.269587839807755], 
[-33.38104307813988, -3.396032295211171], [-35.44788433105626, -4.81551183326809], [-37.51472558397265, -6.234991371325009], 
[-31.927152179603553, -5.6472351729406824], [-34.069670539671165, -6.956898220999662], [-36.21218889973878, -8.266561269058627], 
[-30.648638459487103, -7.8684626858564855], [-32.919872701613244, -8.953375108637928], [-35.01476327789045, -10.36011935160245], 
