inner_point, midpoint, outer_point, 
[-8.998560775201097, -34.222412870090764], [-9.21289980387475, -34.56368663232167], [-9.427238832548403, -34.904960394552575], 
[-7.6120618147303585, -31.548637883557973], [-7.442799940395895, -31.182906536943023], [-7.273538066061432, -30.817175190328072], 
[-7.618289296565186, -31.54187869345417], [-7.327402334609569, -31.262963338257954], [-7.036515372653952, -30.98404798306174], 
[-7.622702036057375, -31.53908614342853], [-7.252087715855887, -31.380801508477475], [-6.881473395654399, -31.22251687352642], 
[-7.603219280883023, -31.615023345680818], [-7.206611914087688, -31.543527915031927], [-6.810004547292353, -31.472032484383035], 
[-7.582548853827726, -31.78909126181118], [-7.180730759257803, -31.75824942535165], [-6.77891266468788, -31.72740758889212], 
[-7.5743863169143175, -31.914131248289472], [-7.172113054299471, -31.889939882366757], [-6.769839791684625, -31.865748516444043], 
[-7.56197430437585, -32.09402376813327], [-7.160428704758118, -32.05981658427321], [-6.758883105140386, -32.025609400413146], 
[-7.516760799881144, -32.40880304110637], [-7.123124753395141, -32.32243370102049], [-6.729488706909137, -32.23606436093462], 
[-7.427943512659131, -32.685940901380675], [-7.059536602993302, -32.52258439275468], [-6.691129693327473, -32.359227884128686], 
[-7.282759243086078, -32.93374074022568], [-6.959039924327563, -32.69370990332649], [-6.6353206055690475, -32.453679066427306], 
[-7.195400602931457, -33.04199839129896], [-6.88942890809201, -32.77971929957208], [-6.583457213252563, -32.5174402078452], 
[-7.118218979793387, -33.12633542730558], [-6.833877443034135, -32.840750255293116], [-6.549535906274883, -32.555165083280656], 
[-6.915850409638499, -33.28624131672431], [-6.6982024316843605, -32.94706826695108], [-6.480554453730222, -32.60789521717785], 
[-6.705385098290363, -33.40038423274021], [-6.539699544068573, -33.03301888717504], [-6.374013989846783, -32.66565354160987], 
[-6.478694861268887, -33.48381798284125], [-6.365767248203233, -33.09696354741716], [-6.252839635137579, -32.71010911199307], 
[-6.244638671349809, -33.53564558664368], [-6.183804012104807, -33.13726367912962], [-6.122969352859806, -32.73888177161555], 
[-6.004661502249583, -33.55526591872919], [-6.001208303789754, -33.15228071376455], [-5.997755105329926, -32.749295508799904], 
[-5.767110948049113, -33.53914152981406], [-5.825378591274537, -33.14037608277413], [-5.8836462344999605, -32.741610635734204], 
[-5.517093537174582, -33.47529319994873], [-5.663713342575618, -33.099911217610526], [-5.810333147976654, -32.72452923527232], 
[-5.412632691315826, -33.428266828026935], [-5.59155700365579, -33.06716422425112], [-5.770481315995754, -32.70606162047531], 
[-5.314666725376537, -33.37698454633716], [-5.510939061542117, -33.02500987387321], [-5.707211397707696, -32.673035201409256], 
[-5.131226711913958, -33.25889905990349], [-5.371457012909797, -32.93532773471622], [-5.6116873139056365, -32.611756409528944], 
[-4.968505520927721, -33.117966699824166], [-5.256084995271208, -32.83564233683662], [-5.543664469614695, -32.553317973849076], 
[-4.8298909922359385, -32.949400057459165], [-5.162606817826022, -32.72200353285532], [-5.495322643416106, -32.49460700825147], 
[-4.72197061034176, -32.75731615522767], [-5.088806289773898, -32.5904611753932], [-5.455641969206036, -32.42360619555873], 
[-4.646269707991703, -32.55221928102401], [-5.03246722031451, -32.43706511707118], [-5.418664732637318, -32.32191095311835], 
[-4.57470315736874, -32.21311589299026], [-4.974360810912087, -32.16132052674746], [-5.374018464455434, -32.10952516050466], 
[-4.551865349939905, -31.958804648925906], [-4.953874042165044, -31.930555553799984], [-5.355882734390183, -31.90230645867406], 
[-4.5411774077687665, -31.82384885540495], [-4.94234727120069, -31.785485582942712], [-5.343517134632614, -31.747122310480474], 
[-4.512687343413363, -31.628245821727337], [-4.90690891363809, -31.54458965895644], [-5.301130483862817, -31.460933496185543], 
[-4.480405825793631, -31.519017598362453], [-4.849442958793497, -31.357089853774816], [-5.218480091793363, -31.19516210918718], 
[-4.4603769903255595, -31.483939436403393], [-4.7619873860876805, -31.216656497987533], [-5.0635977818498015, -30.949373559571672], 
[-4.440075883255791, -31.468805148596594], [-4.6365801749413995, -31.116959922184275], [-4.833084466627008, -30.765114695771956], 
[-4.365850243238475, -31.442217302396276], [-4.465259304775423, -31.05167045695473], [-4.564668366312372, -30.661123611513187], 
[-4.200098222025189, -31.415471944011685], [-4.240062755010514, -31.0144584328886], [-4.280027287995838, -30.613444921765513], 
[-3.946004500557869, -31.401932964214776], [-3.953028505067433, -30.99899418057556], [-3.9600525095769967, -30.596055396936347], 
[-3.780889787443894, -31.40094997902702], [-3.780759913971109, -30.997949999953967], [-3.7806300404983246, -30.594950020880916], 
[-3.54702827680375, -31.402831454003614], [-3.5382326636892003, -30.999927449071993], [-3.5294370505746504, -30.597023444140373], 
[-3.266666744588201, -31.426677648022764], [-3.187459440471569, -31.03153817521022], [-3.108252136354937, -30.636398702397674], 
[-3.1777081093638353, -31.453013430023407], [-3.0092079310841555, -31.086930529685635], [-2.8407077528044757, -30.720847629347862], 
[-3.1518840007226756, -31.46781120487048], [-2.9165723082539152, -31.14064548633095], [-2.681260615785155, -30.81347976779142], 
[-3.1331643247042607, -31.485308467106805], [-2.805872844561332, -31.250171725984004], [-2.478581364418403, -31.015034984861202], 
[-3.098402870899028, -31.546113101933873], [-2.7453782639911584, -31.3517355648635], [-2.3923536570832886, -31.157358027793126], 
[-3.084520157837222, -31.571544903192557], [-2.7155259103311753, -31.409519456711312], [-2.3465316628251287, -31.247494010230067], 
[-3.077665733142642, -31.617029665275446], [-2.6779797978945368, -31.565452992594402], [-2.2782938626464317, -31.513876319913358], 
[-3.061676441238391, -32.058371474489235], [-2.658688127439234, -32.061440503865484], [-2.255699813640077, -32.06450953324173], 
