Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    82204    0.086    0.000    0.517    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:82(_stale_axes_callback)
    80570    0.085    0.000    0.535    0.000 <__array_function__ internals>:2(atleast_1d)
    73726    0.084    0.000    0.329    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/re.py:289(_compile)
      569    0.084    0.000    0.516    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/analysis.py:23(compute_use_defs)
    80556    0.084    0.000    1.450    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/interpolate/fitpack.py:295(splev)
    16285    0.084    0.000    0.084    0.000 {built-in method builtins.round}
    18440    0.082    0.000    0.543    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
    43392    0.082    0.000    0.227    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/text.py:820(get_unitless_position)
    54043    0.081    0.000    0.082    0.000 {built-in method __new__ of type object at 0x5578d22b8ae0}
    73332    0.081    0.000    0.102    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:858(clean)
     3616    0.080    0.000    1.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:2535(get_tick_space)
   442159    0.080    0.000    0.080    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:822(get_animated)
    13056    0.079    0.000    0.079    0.000 {built-in method posix.stat}
    68880    0.076    0.000    0.344    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/colors.py:132(_is_nth_color)
    91975    0.074    0.000    0.100    0.000 {built-in method builtins.setattr}
   160392    0.074    0.000    0.324    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_asarray.py:110(asanyarray)
   308248    0.073    0.000    0.116    0.000 {method 'get' of 'dict' objects}
     6611    0.072    0.000    0.081    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:472(_lookup_global)
     7232    0.071    0.000    0.616    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1393(__sub__)
189887/189280    0.070    0.000    0.163    0.000 {built-in method builtins.hasattr}
    13141    0.070    0.000    0.287    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:464(update_position)
     3431    0.070    0.000    0.070    0.000 {method 'search' of 're.Pattern' objects}
    59255    0.069    0.000    0.238    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/contextlib.py:242(helper)
    17667    0.069    0.000    0.241    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:559(_rate_arguments)
     7232    0.069    0.000    3.800    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/ticker.py:2262(__call__)
    69454    0.069    0.000    0.259    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/re.py:188(match)
     3701    0.068    0.000    0.068    0.000 {built-in method builtins.print}
   473089    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
     8712    0.067    0.000    0.112    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2017(scale)
    36256    0.066    0.000    0.153    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1829(transform_affine)
     8176    0.066    0.000    0.313    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:1248(findfont)
     8229    0.065    0.000    0.068    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:414(_broadcast_shape)
85671/36036    0.065    0.000    0.442    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/_utils.py:44(__str__)
     9040    0.064    0.000    0.096    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
    18080    0.064    0.000    0.191    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/arraypad.py:454(_as_pairs)
   114629    0.064    0.000    0.064    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      581    0.063    0.000    0.063    0.000 {built-in method builtins.compile}
     7457    0.063    0.000    0.063    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
   335860    0.063    0.000    0.063    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/artist.py:217(axes)
   202383    0.063    0.000    0.193    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/abc.py:96(__instancecheck__)
     3151    0.062    0.000    0.091    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/inspect.py:2926(_bind)
      227    0.062    0.000    0.062    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/xlib.py:370(flip)
     4746    0.062    0.000    1.472    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/patches.py:598(draw)
     3616    0.061    0.000    2.035    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:1262(get_minorticklocs)
    24040    0.061    0.000    0.231    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/instructions.py:13(__init__)
    45038    0.061    0.000    0.329    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/event.py:193(broadcast)
    36256    0.061    0.000    0.061    0.000 {built-in method matplotlib._path.affine_transform}
     7608    0.061    0.000    0.065    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:813(set_weight)
     8396    0.061    0.000    0.153    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/shape_base.py:612(column_stack)
     1808    0.061    0.000   18.995    0.011 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/axis.py:1133(draw)
     2260    0.060    0.000    0.976    0.000 /home/gnone/edoardo-ghignone/drivers/src/utils/MPC_utils.py:88(get_track_constraints)
    83382    0.060    0.000    0.331    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/figure.py:50(_stale_figure_callback)
    27120    0.060    0.000    0.235    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/backend_bases.py:922(set_clip_path)
    21728    0.060    0.000    0.153    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/path.py:161(_fast_from_codes_and_verts)
59253/56803    0.059    0.000    0.885    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/contextlib.py:112(__enter__)
   353995    0.059    0.000    0.059    0.000 {method 'endswith' of 'str' objects}
  141/140    0.059    0.000    0.061    0.000 {built-in method _imp.create_dynamic}
    34378    0.059    0.000    0.923    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:2377(transform_affine)
     2214    0.059    0.000    0.328    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/context.py:609(resolve_overload)
    47981    0.059    0.000    0.163    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/np/numpy_support.py:337(ufunc_can_cast)
    18118    0.058    0.000    0.994    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/splinify_package/src/splinify/splinify.py:36(get_coordinate)
       17    0.057    0.003    0.057    0.003 {built-in method _posixsubprocess.fork_exec}
