Fri Feb 18 16:08:50 2022    log.dat

         31905354 function calls (30848552 primitive calls) in 54.070 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/key_binding/emacs_state.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/base.py:278(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/graphics/vertexattribute.py:429(NormalAttribute)
        1    0.000    0.000    0.043    0.043 <frozen importlib._bootstrap>:592(_exec)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/terminal/magics.py:38(TerminalMagics)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/key_binding/key_bindings.py:459(_Proxy)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/optimize/_shgo_lib/triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/dcp2cone/atom_canonicalizers/kl_div_canon.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/spatial/distance.py:1770(<lambda>)
        6    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/builder.py:46(wrap)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\options\minlp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/font/fontconfig.py:108(FontConfig)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/parfors/parfor_lowering_utils.py:11(ParforLoweringBuilder)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pexpect/expect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/builtins.py:363(BitwiseInvert)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/parso/python/token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/quad_over_lin.py:25(quad_over_lin)
        3    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/dateutil/parser/__init__.py:36(__deprecate_private_class)
       14    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/scalars.py:129(__lt__)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/layout/controls.py:157(UIContent)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/elementwise/exp.py:23(exp)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/logging/__init__.py:1756(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/util.py:738(Stats)
        1    0.000    0.000    0.001    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/sentry_sdk/utils.py:785(_is_contextvars_broken)
        1    0.000    0.000    0.002    0.002 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/plot/pr_curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/exc.py:39(CommandError)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/validation/rules/base.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/np/ufunc/array_exprs.py:181(_get_final_replacement)
        1    0.000    0.000    0.000    0.000 /home/gnone/edoardo-ghignone/pbl_f110_gym/gym/f110_gym/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/_weakrefset.py:107(remove)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/transforms/indicator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/sentry_sdk/tracing.py:49(Span)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/misc/init_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/utils/type_comparators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/quad_over_lin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/gym/wrappers/monitor.py:319(clear_monitor_files)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/__init__.py:1707(ZipProvider)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/refs/remote.py:23(RemoteReference)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/selection.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/lib/mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/viz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/dateutil/tz/tz.py:132(tzoffset)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/extensions.py:22(ExtensionManager)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/widgets.py:90(AxesWidget)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/requests/cookies.py:25(MockRequest)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/cpython/unicode_support.py:58(_PyUnicode_TyperecordMasks)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/interface/numpy_interface/matrix_interface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/dcp2cone/atom_canonicalizers/lambda_sum_largest_canon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/layout/containers.py:2597(ConditionalContainer)
        3    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/PIL/Image.py:2898(_decompression_bomb_check)
        1    0.000    0.000    0.005    0.005 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/json/__init__.py:274(load)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/widgets.py:135(Button)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/datamodel/models.py:176(BooleanModel)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/prefilter.py:493(AutocallChecker)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/cpython/listobj.py:148(ListInstance)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/max.py:22(max)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/np/arrayobj.py:608(EntireIndexer)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/image/__init__.py:368(AbstractImage)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/plistlib.py:164(_PlistParser)
        2    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/gl/base.py:140(get_gl_attributes)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/projections/polar.py:661(RadialAxis)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/affine/binary_operators.py:230(multiply)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/affine/index.py:27(index)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/prefilter.py:374(PrefilterChecker)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/builtins.py:285(BitwiseShiftOperation)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pygments/unistring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/affine/trace.py:23(trace)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/language/visitor_meta.py:51(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/cvxcore/python/cvxcore.py:575(DoubleVector2D)
        6    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/shellapp.py:40(<lambda>)
       36    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numpy/core/multiarray.py:644(result_type)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/elementwise/rel_entr.py:28(rel_entr)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/key_binding/bindings/scroll.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/error/syntax_error.py:1(<module>)
       18    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pygments/lexer.py:405(__init__)
        3    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/font/fontconfig.py:273(_get_face)
        2    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/sdk/wandb_settings.py:1014(setdefaults)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/abstract.py:80(Type)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/config.py:286(avx_default)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/xml/etree/ElementTree.py:125(Element)
        1    0.000    0.000    0.001    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/experimental/jitclass/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/inference/value/function.py:202(BaseFunctionExecutionContext)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/promise/promise_list.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/distutils/file_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\options\integrator.py:6(IntegratorOptions)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/io/netcdf.py:98(netcdf_file)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/sdk/lib/server.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/optimize/_trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/widgets/dialogs.py:26(Dialog)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/utils/get_field_def.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/ultratb.py:780(VerboseTB)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/validation/rules/no_undefined_variables.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/clock.py:180(__init__)
        4    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/__init__.py:500(gen_candidates)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/config.py:127(SectionConstraint)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/libs/x11/xf86vmode.py:200(struct_anon_97)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typeconv/typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/sparse/linalg/matfuncs.py:338(_ExpmPadeHelper)
       13    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/parso/python/token.py:10(__init__)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/affine/hstack.py:38(Hstack)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/logging/__init__.py:1385(Logger)
        4    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/inference/utils.py:43(safe_property)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/distutils/log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/xml/dom/xmlbuilder.py:256(DOMInputSource)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/pythonapi.py:1213(nrt_meminfo_new_from_pyobject)
        1    0.000    0.000    0.001    0.001 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/PIL/ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/font_manager.py:576(FontProperties)
        2    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/_weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/window/event.py:36(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/contextlib.py:248(asynccontextmanager)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/sysconfig.py:341(get_makefile_filename)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/min.py:22(min)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/transforms.py:1128(LockableBbox)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/plugins/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\options\baseintegrator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/PIL/TiffImagePlugin.py:1715(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 /home/gnone/edoardo-ghignone/drivers/src/utils/utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/tri/tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/builtins.py:393(UnaryNot)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/gym/wrappers/monitor.py:16(Monitor)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/llvmpy/core.py:102(Constant)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/sdk/interface/_dtypes.py:412(ConstType)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/log_det.py:27(log_det)
        1    0.000    0.000    0.002    0.002 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/scipy/sparse/linalg/eigen/arpack/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\options\license.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/logging/__init__.py:414(__init__)
       10    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/json/encoder.py:413(_iterencode)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/inference/base_value.py:408(ValueSet)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/mpl_toolkits/mplot3d/art3d.py:408(Patch3DCollection)
       12    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/types/common.py:20(iterator_type)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/integration/sagemaker/resources.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/tkinter/__init__.py:2472(Grid)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/requests/__init__.py:57(check_compatibility)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/traitlets/config/configurable.py:435(LoggingConfigurable)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/constraints/zero.py:22(Zero)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/elementwise/huber.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/inference/gradual/generics.py:38(LazyGenericManager)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/ir/values.py:71(gep)
        3    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/util.py:147(reset_import_path)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/flip_objective.py:1(<module>)
       11    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/argparse.py:479(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/gym/wrappers/frame_stack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/_pylab_helpers.py:123(set_active)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/rewrites/registry.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/psutil/__init__.py:264(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/typing.py:258(decorator)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/app/xlib.py:92(__init__)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/eliminate_pwl/atom_canonicalizers/sum_largest_canon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/uu.py:27(<module>)
       29    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/filters/base.py:206(__init__)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/platform.py:496(system_alias)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/jedi/file_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/xml/dom/minidom.py:662(Element)
        3    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/logging/__init__.py:1045(__init__)
        5    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/IPython/core/events.py:97(_define_event)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/solvers/conic_solvers/cvxopt_conif.py:45(CVXOPT)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/exc.py:91(GitCommandError)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/osqp/utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:681(TextLayoutTextureGroup)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\options\mip.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/PIL/Image.py:3191(register_extensions)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/atoms/pf_eigenvalue.py:23(pf_eigenvalue)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/plots/precision_recall.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pyglet/text/layout.py:256(_StaticLayoutContext)
        1    0.000    0.000    0.000    0.000 C:\Users\embotech\Documents\embotech_FORCESPRO_devops\FORCESPRO_pipelines\1\s\Clients\Python\forcespro\checkVectorExtension.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/cvxpy/reductions/dcp2cone/atom_canonicalizers/log_canon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/figure.py:1925(SubFigure)
       24    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/llvmlite/llvmpy/core.py:16(_icmp_get)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/numba/core/typing/builtins.py:369(<listcomp>)
        5    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/3.9.2/lib/python3.9/datetime.py:428(_check_time_fields)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/prompt_toolkit/lexers/pygments.py:72(RegexSync)
        1    0.000    0.000    0.000    0.000 /home/gnone/edoardo-ghignone/drivers/src/MPC/drivers.py:44(MPCCDriver)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:68(LegacyVersion)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/wandb/vendor/graphql-core-1.1/graphql/validation/rules/no_fragment_cycles.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/matplotlib/collections.py:1316(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 /home/gnone/.pyenv/versions/f1tenth/lib/python3.9/site-packages/git/__init__.py:21(_init_externals)
