inner_point, midpoint, outer_point, 
[-76.50466080844768, 6.159352916109668], [-76.43935863329955, 3.544300562189477], [-76.56431791964465, 0.9293400004055314], 
[-16.488542928206414, -68.41175527747427], [-17.556161496418298, -66.34663048165726], [-18.62378006463021, -64.28150568584026], 
[-18.00815826237391, -69.1412455707761], [-18.768019739422158, -66.91697461834652], [-19.527881216470405, -64.69270366591695], 
[-19.660297233406652, -69.65500979780032], [-20.215949599131164, -67.32227949008573], [-20.510925829344018, -64.94998701807826], 
[-20.967223412738832, -69.81674451222531], [-21.37811552085472, -67.41331690854008], [-21.789007628970637, -65.00988930485484], 
[-27.02843903990174, -69.86963207657857], [-27.257117184506285, -67.44935381000775], [-27.48579532911083, -65.02907554343693], 
[-34.98662624590551, -69.88712502981362], [-34.5677889503507, -67.46599742089019], [-34.14895165479594, -65.04486981196678], 
[-42.9448134519093, -69.90461798304867], [-42.2339121796666, -67.4789272407635], [-41.523010907423895, -65.05323649847837], 
[-48.73627894031411, -69.9058621549053], [-48.81667455018301, -67.48373266994763], [-48.89707016005187, -65.06160318498996], 
[-56.694485188352274, -69.90757180443404], [-57.25697996787105, -67.48874768905594], [-57.81947474738982, -65.06992357367784], 
[-64.65269143639044, -69.90928145396276], [-64.92311508978804, -67.48949226609096], [-65.19353874318566, -65.06970307821912], 
[-72.6108976844286, -69.91099110349151], [-72.58925021170505, -67.49023684312594], [-72.5676027389815, -65.0694825827604], 
[-76.59000080844768, -69.91184592825587], [-76.42231777266356, -67.49060913164347], [-76.25463473687944, -65.06937233503105], 
[-83.00999950966174, -69.91194951459454], [-83.31934912116851, -67.49055067708343], [-83.62869873267529, -65.06915183957233], 
[-90.96820594030471, -69.91207791983335], [-90.98548433438793, -67.49050463197347], [-91.00276272847115, -65.0689313441136], 
[-98.92641237094767, -69.91220632507216], [-98.65161954760734, -67.49045858686351], [-98.376826724267, -65.06871084865486], 
[-105.79420739772783, -69.90510600413049], [-105.41239504368559, -67.4829333032135], [-105.03058268964337, -65.06076060229651], 
[-113.75240957630112, -69.89687835764913], [-113.0785255005912, -67.47441402958427], [-112.40464142488128, -65.05194970151942], 
[-121.7106117548744, -69.88865071116776], [-120.74465595749679, -67.46589475595503], [-119.77870016011917, -65.04313880074233], 
[-125.68971284416104, -69.88453688792707], [-127.42097714817893, -67.45187867705712], [-129.15224145219682, -65.01922046618716], 
[-133.12775080844767, -69.85339395513263], [-132.98350127673794, -67.4299813464288], [-132.8392517450282, -65.00656873772496], 
[-134.3748500576897, -69.68091292463436], [-134.1124709395918, -67.33354044615874], [-133.85009182149383, -64.98616796768312], 
[-135.96229903760042, -69.24690710666505], [-135.46046318425562, -66.98092296633035], [-134.95862733091084, -64.71493882599565], 
[-137.44737550190737, -68.59721218901676], [-136.61725189785432, -66.47506135144744], [-135.78712829380126, -64.35291051387807], 
[-138.811144330863, -67.74672124037019], [-137.6811348173257, -65.81075685858178], [-136.55112530378844, -63.87479247679337], 
[-140.03467040471975, -66.71032732940603], [-138.63667386347737, -65.00090113068174], [-137.238677322235, -63.29147493195747], 
[-141.0990186037301, -65.50292352480506], [-139.46843095711677, -64.05838581069573], [-137.83784331050344, -62.61384809658639], 
[-141.9852538081465, -64.13940289524788], [-140.1609680190515, -62.99610254157203], [-138.33668222995647, -61.852802187896145], 
[-142.6744408982214, -62.63465850941532], [-140.698846970089, -61.82694296625901], [-138.72325304195658, -61.0192274231027], 
[-142.81143080796608, -62.23687432189574], [-140.84106857052686, -61.4077596172215], [-138.87070633308764, -60.578644912547254], 
[-143.08780496992208, -61.42012392020554], [-141.00936987983567, -60.886283682428164], [-138.93093478974927, -60.3524434446508], 
[-143.2886894229258, -59.16403967355078], [-141.14930132074792, -59.50909118637602], [-139.00991321857003, -59.854142699201276], 
[-143.35386610022832, -54.88721869121538], [-141.21150025026043, -55.71909933135454], [-139.0691344002925, -56.550979971493746], 
[-143.3595774490436, -50.392347799092775], [-141.23045393674022, -49.78466702881438], [-139.10133042443687, -49.17698625853602], 
[-143.36968943162879, -42.4341477917404], [-141.2355489359902, -42.774896718377306], [-139.10140844035163, -43.1156456450142], 
[-143.3687668340316, -35.8692695519462], [-141.23513509322362, -35.80542559923937], [-139.10150335241568, -35.74158164653258], 
[-143.36820762929153, -31.890166375400767], [-141.2348792188696, -31.972358011346273], [-139.10155080844768, -32.054549647291765], 
[-143.36883505063233, -25.398845023257877], [-141.23515392158262, -25.696027028515317], [-139.10147279253292, -25.993209033772743], 
[-143.3686035567753, -20.94102283378203], [-141.2349907186221, -19.780083934536563], [-139.10137788046887, -18.619145035291112], 
[-143.358361613352, -12.982822992623852], [-141.2256607122612, -12.998889257474616], [-139.0929598111704, -13.014955522325408], 
[-143.34866802640568, -8.68439086203415], [-141.20471590671588, -7.162676335700908], [-139.06076378702608, -5.640961809367653], 
[-143.2165493411846, -3.2059718098076644], [-141.08891933438946, -3.542477164292748], [-138.96128932759436, -3.878982518777846], 
[-142.94740649913695, -1.9077909731014842], [-140.88311929766832, -2.629079309463833], [-138.8188320961997, -3.3503676458262106], 
[-142.71708687390353, -1.2151121717486006], [-140.6154268566999, -1.898641340194132], [-138.5137668394963, -2.582170508639649], 
[-141.64173198598283, 0.9807691345569651], [-139.87919087528775, -0.44577094647867455], [-138.1166497645927, -1.8723110275143284], 
[-140.6830557171307, 2.271774225095541], [-138.8757246616018, 0.8107900828698718], [-137.0683936060729, -0.6501940593557833], 
[-138.93225466779202, 3.908579425444813], [-137.68028795659635, 1.8796741700840158], [-136.42832124540067, -0.14923108527679574], 
[-137.5856220446157, 4.776456155811374], [-136.2647884066035, 2.69036185815321], [-134.9439547685913, 0.6042675604950318], 
[-136.11871788821747, 5.446851406636512], [-135.3253663537991, 3.089829974215533], [-134.53201481938075, 0.7328085417945402], 
[-134.55149134631614, 5.903633671935864], [-134.2023160773819, 3.41649701232204], [-133.85314080844768, 0.9293603527082297], 
[-132.58299737069177, 6.116999072710314], [-132.5805990861663, 3.523179712709279], [-132.57820080164083, 0.9293603527082297], 
[-125.81930211936535, 6.1491650437497185], [-125.51171946095688, 3.539262698228967], [-125.20413680254842, 0.9293603527082297], 
[-119.29838410931252, 6.154916837494156], [-118.56422845638426, 3.542138595101207], [-117.83007280345598, 0.9293603527082297], 
[-111.34018077344209, 6.161936392730695], [-110.89809478890282, 3.5456483727194694], [-110.45600880436356, 0.9293603527082297], 
[-103.38197743757163, 6.168955947967206], [-103.23196112142139, 3.5491581503377176], [-103.08194480527115, 0.9293603527082297], 
[-96.40017561774323, 6.1664614107995135], [-96.05402821196097, 3.547910881753893], [-95.70788080617872, 0.9293603527082297], 
[-88.441969694025, 6.1636180129235925], [-88.38789325055566, 3.546489182815904], [-88.33381680708631, 0.9293603527082297], 
[-80.4837637703068, 6.160774615047629], [-78.87824228937724, 3.5450674838779292], [-77.27272080844769, 0.9293603527082297], 
