x, y
-114.89842224121094, -71.86316680908203
-115.75318908691406, -72.3820571899414
-116.60317993164062, -72.90953826904297
-117.44985961914062, -73.44314575195312
-118.2932357788086, -73.97950744628906
-119.13682556152344, -74.51783752441406
-119.98129272460938, -75.05615997314453
-120.8252944946289, -75.5920639038086
-121.67091369628906, -76.12593841552734
-122.5194091796875, -76.65813446044922
-123.36836242675781, -77.18699645996094
-124.21943664550781, -77.7135238647461
-125.07225036621094, -78.23677062988281
-125.92842864990234, -78.75260925292969
-126.79230499267578, -79.25590515136719
-127.66383361816406, -79.7462158203125
-128.5421142578125, -80.22444152832031
-129.4354705810547, -80.6763916015625
-130.35784912109375, -81.0634994506836
-131.3182373046875, -81.34185791015625
-132.3090057373047, -81.46702575683594
-133.303955078125, -81.38990020751953
-134.25064086914062, -81.0794906616211
-135.0933380126953, -80.5480728149414
-135.8057861328125, -79.84747314453125
-136.3878936767578, -79.03572845458984
-136.85195922851562, -78.15021514892578
-137.22390747070312, -77.22198486328125
-137.542724609375, -76.27327728271484
-137.8450164794922, -75.31968688964844
-138.15493774414062, -74.36917877197266
-138.48336791992188, -73.42577362060547
-138.8324737548828, -72.48918151855469
-139.19931030273438, -71.55879974365234
-139.57904052734375, -70.63483428955078
-139.96728515625, -69.71338653564453
-140.35675048828125, -68.79124450683594
-140.73719787597656, -67.86480712890625
-141.09649658203125, -66.93057250976562
-141.4224853515625, -65.98616790771484
-141.70591735839844, -65.02864074707031
-141.94122314453125, -64.05831146240234
-142.12632751464844, -63.07551574707031
-142.2589874267578, -62.084991455078125
-142.33717346191406, -61.088592529296875
-142.3609161376953, -60.08911895751953
-142.33062744140625, -59.08976745605469
-142.24710083007812, -58.09328842163086
-142.11163330078125, -57.10316848754883
-141.92884826660156, -56.121131896972656
-141.70582580566406, -55.146636962890625
-141.4411163330078, -54.18363571166992
-141.11410522460938, -53.23948669433594
-140.70294189453125, -52.32825469970703
-140.19384765625, -51.4676628112793
-139.5730438232422, -50.685279846191406
-138.8318328857422, -50.01784896850586
-137.98362731933594, -49.4902458190918
-137.06053161621094, -49.10466766357422
-136.0920867919922, -48.854923248291016
-135.1007537841797, -48.721466064453125
-134.1025390625, -48.66131591796875
-133.10183715820312, -48.62515640258789
-132.10279846191406, -48.57852554321289
-131.1058349609375, -48.50619125366211
-130.10992431640625, -48.40553665161133
-129.11671447753906, -48.280364990234375
-128.12680053710938, -48.13579177856445
-127.13851165771484, -47.97651290893555
-126.15181732177734, -47.8068962097168
-125.16702270507812, -47.63016128540039
-124.18297576904297, -47.446285247802734
-123.20108032226562, -47.25190734863281
-122.22296142578125, -47.0469970703125
