,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
15,0.7387184,0.7386624,0.7388178,0.73860115,0.7388167,0.73855937,0.7385268,0.7386107,0.7386819,0.73853356,0.73852205,0.73876977,0.7386638,-0.35431743,-0.3542716,-0.3543993,-0.35422125,-0.35439843,-0.3541874,-0.35416058,-0.35422903,-0.3542876,-0.35416612,-0.35415655,-0.35435972,-0.3542728
16,0.72954726,0.7294753,0.7296751,0.72939676,0.7296737,0.72934335,0.7293017,0.729409,0.7295004,0.7293103,0.72929555,0.7296133,0.7294771,-0.36413777,-0.3640775,-0.36424556,-0.3640113,-0.36424443,-0.3639667,-0.3639315,-0.3640215,-0.36409852,-0.36393875,-0.3639262,-0.3641934,-0.36407912
17,0.719695,0.7196061,0.71985334,0.7195092,0.71985155,0.7194433,0.719392,0.7195242,0.7196371,0.7194026,0.71938443,0.7197768,0.7196083,-0.3744143,-0.37433815,-0.37455073,-0.3742545,-0.3745493,-0.37419817,-0.37415382,-0.37426743,-0.37436467,-0.37416294,-0.37414715,-0.37448463,-0.37434015
18,0.7092014,0.7090952,0.70939046,0.7089801,0.7093883,0.708902,0.70884126,0.7089979,0.7091321,0.7088538,0.7088323,0.709299,0.7090978,-0.38517168,-0.38507983,-0.38533732,-0.3849786,-0.3853356,-0.38491046,-0.3848569,-0.38499424,-0.38511193,-0.38486797,-0.38484886,-0.38525698,-0.38508227
19,0.6980953,0.6979725,0.6983146,0.69783974,0.6983121,0.6977503,0.69768053,0.69786024,0.698015,0.6976948,0.6976703,0.6982087,0.69797546,-0.39642963,-0.3963223,-0.39662376,-0.39620396,-0.3966217,-0.39612412,-0.39606163,-0.3962223,-0.3963599,-0.3960746,-0.39605227,-0.39652926,-0.39632517
20,0.6864015,0.68626267,0.68664986,0.6861132,0.68664706,0.68601304,0.6859349,0.68613625,0.6863106,0.6859508,0.6859234,0.68653,0.686266,-0.40820062,-0.4080785,-0.40842217,-0.40794384,-0.4084198,-0.40785268,-0.40778166,-0.40796468,-0.40812132,-0.40779644,-0.40777105,-0.40831405,-0.40808174
21,0.6741393,0.6739847,0.6744155,0.6738195,0.6744124,0.67370945,0.67362344,0.67384493,0.6740378,0.67364097,0.67361075,0.6742823,0.6739884,-0.42049554,-0.42035997,-0.42074314,-0.4202099,-0.42074046,-0.42010802,-0.42002898,-0.42023313,-0.42040777,-0.42004547,-0.4200172,-0.420622,-0.42036363
22,0.66132456,0.6611551,0.661627,0.66097367,0.6616236,0.6608545,0.6607614,0.6610014,0.661213,0.66078025,0.66074765,0.6614812,0.66115916,-0.43332532,-0.4331772,-0.43359756,-0.43301415,-0.43359458,-0.43290213,-0.43281552,-0.4330396,-0.43322968,-0.4328337,-0.43280268,-0.43346402,-0.43318123
23,0.6479749,0.6477916,0.6483016,0.6475954,0.64829797,0.6474677,0.6473681,0.6476251,0.647854,0.6473881,0.6473533,0.6481441,0.647796,-0.44669777,-0.44653806,-0.4469932,-0.44636294,-0.44698992,-0.44624183,-0.44614822,-0.44639048,-0.44659486,-0.44616795,-0.4461344,-0.44684803,-0.4465424
24,0.63410896,0.63391274,0.6344581,0.6337029,0.63445425,0.6335675,0.6334622,0.63373446,0.63397914,0.6334833,0.6334466,0.6342898,0.6339174,-0.46062,-0.46045,-0.46093667,-0.4602641,-0.46093312,-0.46013469,-0.4600347,-0.4602935,-0.46051073,-0.46005586,-0.46001998,-0.4607808,-0.46045467
