,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
1321,-100.35948,-100.26189,-100.143105,-100.39194,-100.12983,-100.37131,-100.51987,-100.46171,-100.23188,-100.36725,-100.407616,-100.184006,-100.26954,-32.80989,-32.774426,-32.70639,-32.839603,-32.701015,-32.835922,-32.907146,-32.869843,-32.759,-32.837025,-32.856438,-32.727425,-32.777565
1322,-100.45077,-100.35352,-100.23533,-100.48303,-100.22211,-100.46247,-100.61045,-100.55254,-100.32365,-100.45841,-100.49862,-100.276024,-100.361145,-32.850754,-32.814507,-32.74509,-32.880886,-32.739597,-32.87706,-32.94955,-32.911694,-32.798775,-32.878166,-32.89793,-32.766613,-32.81771
1323,-100.5417,-100.4448,-100.327194,-100.573784,-100.314026,-100.55328,-100.70069,-100.643036,-100.415054,-100.549225,-100.58927,-100.36768,-100.45239,-32.892395,-32.855385,-32.784637,-32.92292,-32.779026,-32.918953,-32.99266,-32.954285,-32.839367,-32.920063,-32.940163,-32.806637,-32.858654
1324,-100.63228,-100.53573,-100.4187,-100.66419,-100.40558,-100.64376,-100.7906,-100.73319,-100.5061,-100.639694,-100.679596,-100.45898,-100.54329,-32.9348,-32.897045,-32.825012,-32.96569,-32.819283,-32.96158,-33.036453,-32.99759,-32.880745,-32.96269,-32.983116,-32.84748,-32.900375
1325,-100.72251,-100.626305,-100.50985,-100.75426,-100.49678,-100.7339,-100.880196,-100.823006,-100.5968,-100.729836,-100.769585,-100.54991,-100.63384,-32.977936,-32.939457,-32.866188,-33.009163,-32.860348,-33.004906,-33.080902,-33.04158,-32.92289,-33.006016,-33.026752,-32.889114,-32.94285
1326,-100.8124,-100.71654,-100.60064,-100.844,-100.587616,-100.82371,-100.969475,-100.9125,-100.68716,-100.81965,-100.85925,-100.640495,-100.724045,-33.02178,-32.982594,-32.908142,-33.053314,-32.902195,-33.048912,-33.125977,-33.08623,-32.965775,-33.050014,-33.071053,-32.931515,-32.986046
1327,-100.90196,-100.80643,-100.69108,-100.93342,-100.6781,-100.9132,-101.05845,-101.00168,-100.77717,-100.90914,-100.9486,-100.73073,-100.81391,-33.0663,-33.026432,-32.95085,-33.098114,-32.944798,-33.093567,-33.171654,-33.13151,-33.009373,-33.094666,-33.115986,-32.97466,-33.029938
1328,-100.99119,-100.89599,-100.781166,-101.02252,-100.76824,-101.00237,-101.147125,-101.09054,-100.866844,-100.99832,-101.03764,-100.82061,-100.90345,-33.111473,-33.070942,-32.99429,-33.14354,-32.988132,-33.138847,-33.2179,-33.177395,-33.053654,-33.13993,-33.161522,-33.018517,-33.0745
1329,-101.0801,-100.98523,-100.87091,-101.11131,-100.85803,-101.09125,-101.23551,-101.17911,-100.95619,-101.087204,-101.12639,-100.91016,-100.99266,-33.157272,-33.116093,-33.03843,-33.189556,-33.032177,-33.18472,-33.26469,-33.223854,-33.09859,-33.18579,-33.207638,-33.063065,-33.119705
1330,-101.1687,-101.07415,-100.96032,-101.199814,-100.947495,-101.17982,-101.32362,-101.26738,-101.04522,-101.17579,-101.21484,-100.99937,-101.08156,-33.203667,-33.161865,-33.083244,-33.23614,-33.0769,-33.23116,-33.312004,-33.270863,-33.14416,-33.232212,-33.254303,-33.10827,-33.165524
1331,-101.256996,-101.16277,-101.0494,-101.288025,-101.03662,-101.26811,-101.41147,-101.35538,-101.133934,-101.264084,-101.303024,-101.08826,-101.17015,-33.250633,-33.208225,-33.12871,-33.28327,-33.122276,-33.27814,-33.35981,-33.318394,-33.19033,-33.279175,-33.301495,-33.154106,-33.211933
1332,-101.345,-101.25109,-101.13816,-101.37595,-101.12542,-101.356125,-101.499054,-101.44309,-101.22235,-101.35211,-101.39093,-101.176834,-101.258446,-33.29814,-33.255146,-33.174805,-33.330914,-33.168278,-33.325638,-33.408085,-33.366425,-33.237076,-33.326645,-33.349182,-33.20055,-33.258904
1333,-101.43273,-101.33913,-101.2266,-101.46362,-101.21391,-101.44386,-101.586395,-101.530556,-101.31047,-101.43987,-101.47858,-101.2651,-101.34646,-33.34617,-33.30261,-33.22149,-33.37905,-33.21488,-33.373627,-33.45681,-33.414932,-33.28437,-33.374607,-33.397346,-33.247574,-33.306404
1334,-101.52018,-101.42688,-101.31475,-101.551025,-101.3021,-101.53136,-101.67349,-101.61776,-101.39831,-101.527374,-101.56597,-101.35307,-101.43419,-33.39469,-33.35058,-33.26875,-33.427654,-33.262062,-33.42208,-33.505962,-33.46389,-33.33219,-33.42303,-33.445965,-33.295147,-33.35442
1335,-101.60737,-101.514366,-101.402596,-101.63818,-101.38999,-101.61859,-101.76036,-101.70473,-101.48588,-101.61463,-101.65313,-101.44076,-101.52165,-33.443684,-33.399036,-33.31655,-33.476704,-33.309788,-33.47098,-33.555523,-33.51328,-33.380505,-33.4719,-33.495014,-33.343243,-33.402916
