,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
228,4.7568035,-6.4988756,0.072990865,9.9856615,3.4061239,1.2560302,-0.16133928,-2.1205785,0.22044022,23.113825,0.014634963,0.0,0.0
229,4.6574783,-6.509162,0.05178508,9.987865,3.4186842,1.2514069,-0.1635451,2.0729272,-0.4219712,23.223682,0.015893249,0.0,0.0
230,4.558243,-6.5204782,0.072514355,9.983646,3.4311984,1.2176831,-0.16613516,-1.8963096,0.24473935,23.32356,0.016389864,0.0,0.0
231,4.459166,-6.532774,0.053551257,9.9860935,3.443375,1.2116408,-0.1677192,2.1102672,-0.58957803,23.423397,0.014787594,0.0,0.0
232,4.3602014,-6.5461216,0.07465393,9.980198,3.4554915,1.1968337,-0.16965136,-0.17125213,0.27351135,23.533258,0.015645074,0.0,0.0
233,4.261436,-6.5604677,0.07294141,9.982933,3.46746,1.1959602,-0.17078738,1.8208371,-0.641545,23.633059,0.014558951,0.0,0.0
234,4.1628046,-6.575887,0.09114978,9.976518,3.4794195,1.2484783,-0.17189749,1.6397282,-0.06413976,23.73289,0.014961155,0.0,0.0
235,4.0644097,-6.5923657,0.10754706,9.975876,3.4919043,1.3149959,-0.17300537,1.6804848,-2.0515246,23.842653,0.015071465,0.0,0.0
236,3.966215,-6.609961,0.12435191,9.95536,3.5050542,1.5655987,-0.1742264,-3.2,1.1024144,23.942413,0.015353278,0.0,0.0
237,3.8684385,-6.628688,0.092351906,9.966385,3.5207102,1.6147848,-0.17755,3.0082235,-5.359447,24.051966,0.016682088,0.0,0.0
238,3.7707925,-6.648641,0.12243415,9.91279,3.536858,2.0110886,-0.18192105,-1.0943826,-3.0165977,24.15163,0.015777148,0.0,0.0
239,3.6739118,-6.669629,0.11149032,9.882625,3.556969,2.3083122,-0.18913816,-0.08270288,-2.963303,24.260757,0.014966933,0.0,0.0
240,3.577604,-6.6917973,0.11066329,9.852991,3.5800521,2.5312343,-0.19924453,-0.1048528,-2.5732179,24.359585,0.01565192,0.0,0.0
241,3.4818797,-6.7151427,0.10961476,9.827259,3.6053646,2.6984248,-0.21104246,0.10045882,-2.309794,24.468115,0.015234183,0.0,0.0
242,3.386729,-6.7397156,0.11061935,9.804161,3.6323488,2.8238165,-0.22388624,0.25280166,-2.0507693,24.566387,0.014802035,0.0,0.0
243,3.292158,-6.7655706,0.11314736,9.783653,3.6605868,2.9178605,-0.23723957,0.36962834,-1.8046333,24.664429,0.015660236,0.0,0.0
244,3.1981792,-6.7927732,0.11684365,9.765607,3.6897655,2.9883945,-0.250717,0.45946044,-1.5733825,24.762264,0.014468284,0.0,0.0
245,3.1048117,-6.8213954,0.12143825,9.749873,3.7196493,3.041295,-0.2640441,0.5266019,-1.3569429,24.85992,0.0178111,0.0,0.0
246,3.0120804,-6.8515105,0.12670428,9.736304,3.7500625,3.0809693,-0.27702898,0.57645947,-1.1549369,24.95742,0.015126975,0.0,0.0
