,s_x,s_y,delta,velocity,yaw,yaw_der,slip_angle,steer_v,acceleration,param,comp_time,lap_finished,out_of_soft
477,-9.341396,-20.304148,0.3547298,2.8770947,3.4254205,3.1999917,-0.014126229,0.4481018,-2.2609842,20.796818,0.014481758,0.0,0.0
478,-9.369127,-20.311815,0.35921082,2.854485,3.4574203,3.1999936,-0.010452464,0.44307464,-2.1800494,20.825588,0.014642635,0.0,0.0
479,-9.396352,-20.320396,0.36364156,2.8326845,3.4894202,3.1999917,-0.0067227343,0.4193267,-2.0976815,20.844133,0.01491073,0.0,0.0
480,-9.423047,-20.329872,0.36783484,2.8117077,3.5214202,3.1999934,-0.0029623057,0.44281828,-2.0238087,20.872461,0.014635828,0.0,0.0
481,-9.44919,-20.34022,0.372263,2.7914696,3.55342,3.199995,0.00078749406,0.4942165,-1.931993,20.900578,0.014761608,0.0,0.0
482,-9.474763,-20.351414,0.37720516,2.7721496,3.5854201,3.1999958,0.0045437394,0.6040115,-1.8045101,20.928492,0.014922178,0.0,0.0
483,-9.499743,-20.363432,0.3832453,2.7541046,3.61742,3.1999967,0.00834746,0.58469695,-1.6047709,20.956213,0.014569179,0.0,0.0
484,-9.524119,-20.376251,0.38909227,2.738057,3.64942,3.1999974,0.012287802,0.6088935,-1.3996319,20.973755,0.015292004,0.0,0.0
485,-9.547879,-20.389858,0.3951812,2.7240605,3.68142,3.1999958,0.01628946,0.5509246,-1.1628987,21.001135,0.014889031,0.0,0.0
486,-9.571015,-20.404238,0.40069044,2.7124317,3.71342,3.1999958,0.020333486,0.45523074,-0.9370565,21.028376,0.014478736,0.0,0.0
487,-9.593521,-20.419378,0.40524274,2.703061,3.74542,3.1999903,0.024314066,0.34138924,-0.7435629,21.0555,0.015010493,0.0,0.0
488,-9.615392,-20.435263,0.40865663,2.6956253,3.7774198,3.1999884,0.028109826,0.2560773,-0.5953865,21.082531,0.014599423,0.0,0.0
489,-9.636622,-20.451874,0.41121742,2.6896715,3.8094196,3.1999857,0.031611405,0.19205366,-0.48154414,21.109488,0.014466868,0.0,0.0
490,-9.657204,-20.469189,0.41313794,2.6848562,3.8414195,3.1999886,0.034767516,0.14404634,-0.39186534,21.136383,0.015039051,0.0,0.0
491,-9.677128,-20.487185,0.4145784,2.6809375,3.8734195,3.1998737,0.037564192,0.10803941,-0.32627916,21.163233,0.014790219,0.0,0.0
492,-9.696386,-20.505836,0.4156588,2.6776745,3.9054182,3.1999052,0.04001136,0.081024416,-0.27341712,21.180042,0.0144146,0.0,0.0
493,-9.714968,-20.525116,0.41646904,2.6749403,3.9374173,3.199829,0.042130582,0.060772557,-0.2363926,21.206818,0.014980375,0.0,0.0
494,-9.732862,-20.544998,0.41707677,2.6725764,3.9694154,3.1998708,0.043952465,0.045576636,-0.17734076,21.233568,0.014598719,0.0,0.0
495,-9.75006,-20.565456,0.41753253,2.670803,4.0014143,3.198244,0.045509204,0.03418336,-0.17974173,21.260294,0.014588702,0.0,0.0
496,-9.76655,-20.586466,0.41787437,2.6690056,4.0333967,3.1986804,0.04684413,0.025633536,0.94122213,21.287003,0.015080279,0.0,0.0
497,-9.782321,-20.607998,0.41813073,2.678418,4.0653834,3.140347,0.047983225,0.019228425,0.14204612,21.313692,0.014762678,0.0,0.0
498,-9.797422,-20.63012,0.418323,2.6798384,4.096787,3.155256,0.049316052,0.01442047,1.404363,21.340475,0.014323939,0.0,0.0
499,-9.8118,-20.652735,0.4184672,2.693882,4.1283393,3.1001537,0.050223615,0.010817607,0.46884847,21.367275,0.019138327,0.0,0.0
500,-9.825507,-20.675924,0.41857538,2.6985705,4.159341,3.1250498,0.05129179,0.008115033,2.9348257,21.394213,0.014463626,0.0,0.0
501,-9.838487,-20.699585,0.41865653,2.7279189,4.1905913,3.016157,0.051746704,0.0060864296,1.0962058,21.4212,0.015506075,0.0,0.0
502,-9.8508415,-20.723906,0.41871738,2.7388809,4.220753,3.0621173,0.05276396,0.004564866,5.0945287,21.438478,0.016192768,0.0,0.0
503,-9.86248,-20.748697,0.41876304,2.7898262,4.2513742,2.8927538,0.052605126,0.0034219953,2.7064466,21.465866,0.01445862,0.0,0.0
504,-9.87356,-20.774302,0.41879725,2.8168905,4.2803016,2.9377923,0.05338762,0.002567307,5.7293677,21.493765,0.015895171,0.0,0.0
505,-9.883974,-20.800474,0.41882294,2.8741841,4.3096795,2.8264275,0.052674774,0.0019236731,4.168296,21.521935,0.014868611,0.0,0.0
506,-9.89383,-20.827475,0.41884217,2.915867,4.337944,2.8610423,0.05249579,0.0014430447,7.2032423,21.550676,0.015704246,0.0,0.0
507,-9.903057,-20.855135,0.4188566,2.9878995,4.3665543,2.747321,0.05070008,-0.7007124,5.2748528,21.579834,0.017167188,0.0,0.0
508,-9.911748,-20.883722,0.41184947,3.0406482,4.3940277,2.797967,0.049703855,-0.8842716,8.869122,21.599714,0.01796587,0.0,0.0
509,-9.919819,-20.913036,0.40300676,3.1293395,4.422007,2.6522336,0.04628186,-1.4451704,7.643848,21.63012,0.017471187,0.0,0.0
510,-9.9273815,-20.943403,0.38855505,3.205778,4.4485297,2.6247241,0.043281324,-1.5766249,8.773192,21.661413,0.01458804,0.0,0.0
511,-9.934396,-20.974684,0.37278882,3.2935097,4.4747767,2.539286,0.039011326,-1.9220629,8.906692,21.683472,0.014736345,0.0,0.0
512,-9.940894,-21.006971,0.35356817,3.3825767,4.5001698,2.460482,0.03432486,-2.2301075,9.509983,21.716406,0.015517701,0.0,0.0
513,-9.946879,-21.040264,0.33126712,3.4776766,4.5247746,2.354854,0.029023236,-2.239148,9.509848,21.750233,0.014329466,0.0,0.0
514,-9.952372,-21.074604,0.30887562,3.572775,4.548323,2.2502556,0.02349614,-2.36709,9.509907,21.77501,0.015925404,0.0,0.0
515,-9.957377,-21.10998,0.28520474,3.667874,4.5708256,2.1421452,0.017868176,-2.5267274,9.509986,21.810736,0.014671394,0.0,0.0
516,-9.961903,-21.146378,0.25993747,3.762974,4.592247,2.026002,0.012215496,-2.8686144,9.509989,21.837416,0.014815098,0.0,0.0
517,-9.965957,-21.183788,0.2312513,3.8580737,4.6125073,1.8985763,0.0066177906,-2.9979575,9.509988,21.865046,0.015694436,0.0,0.0
518,-9.969549,-21.222202,0.20127173,3.9531736,4.631493,1.7545596,0.0010971621,-3.1834683,9.509947,21.903625,0.01455054,0.0,0.0
519,-9.9727,-21.261608,0.16943705,4.048273,4.6490383,1.5942109,-0.0042032176,-3.1992626,9.509988,21.933157,0.014465932,0.0,0.0
520,-9.975433,-21.301998,0.13744442,4.143373,4.6649804,1.4170015,-0.009178358,-3.1997697,9.509982,21.97364,0.015653761,0.0,0.0
521,-9.977777,-21.343365,0.105446726,4.238473,4.6791506,1.2259152,-0.013667619,-3.199992,9.509993,22.005074,0.014854099,0.0,0.0
522,-9.979764,-21.385704,0.0734468,4.333573,4.6914096,1.0237823,-0.017546251,-3.1998909,9.509979,22.047459,0.014509709,0.0,0.0
523,-9.981433,-21.429007,0.041447897,4.428673,4.7016478,0.81300944,-0.020725042,-3.1238427,9.5099945,22.080795,0.01587272,0.0,0.0
524,-9.982826,-21.473272,0.010209468,4.5237727,4.709778,0.5956453,-0.023142675,-3.1999898,9.509989,22.125082,0.014570962,0.0,0.0
525,-9.983992,-21.518496,-0.02179043,4.6188726,4.715734,0.37483364,-0.024735231,-3.1997983,9.509984,22.160318,0.014282492,0.0,0.0
526,-9.98498,-21.564672,-0.053788412,4.713972,4.7194824,0.15036394,-0.025519837,-2.4643962,9.509953,22.206507,0.01555196,0.0,0.0
527,-9.985847,-21.611805,-0.07843237,4.809072,4.720986,-0.076468356,-0.025483897,-1.807071,9.509937,22.243647,0.014921423,0.0,0.0
528,-9.98666,-21.65989,-0.09650309,4.904171,4.7202215,-0.29097795,-0.024401853,-1.0890481,9.497674,22.281738,0.015443552,0.0,0.0
529,-9.987473,-21.708923,-0.10739357,4.999148,4.717312,-0.482726,-0.02223099,-0.07487215,9.435137,22.33078,0.015494287,0.0,0.0
530,-9.9883375,-21.758907,-0.10814229,5.093499,4.7124844,-0.6426463,-0.019019382,0.42333585,8.156796,22.370771,0.014521982,0.0,0.0
531,-9.989302,-21.809834,-0.10390893,5.1750674,4.706058,-0.77002674,-0.014977235,0.7850982,7.529686,22.421707,0.015430966,0.0,0.0
