inner_point, midpoint, outer_point, 
[1.3038392268727534, -0.745291792293088], [0.08314340759386596, -0.0009153513356068288], [-1.1375524116850215, 0.7434610896218601], 
[-104.68020378724, -37.4543639598773], [-105.6820275929725, -36.43488089954245], [-106.683851398705, -35.415397839207614], 
[-106.50012179394488, -39.59301839156481], [-107.66389816164028, -38.75152904635431], [-108.82767452933568, -37.91003970114379], 
[-107.82533740439582, -42.06914793108764], [-109.1413977220318, -41.520227811596726], [-110.45745803966776, -40.971307692105796], 
[-108.57041428884233, -44.84023040208697], [-109.98327598371806, -44.631054876193375], [-111.39613767859379, -44.421879350299776], 
[-108.70331832443833, -46.67307134341145], [-110.12980037846611, -46.6817154953516], [-111.5562824324939, -46.69035964729174], 
[-108.62365122136606, -48.286872838327426], [-110.04061805655334, -48.44220246536278], [-111.45758489174062, -48.59753209239811], 
[-108.349102183447, -49.74015685442899], [-109.73248875012175, -50.07810795993048], [-111.11587531679649, -50.41605906543198], 
[-107.77864920443034, -51.384390403103254], [-109.09154002119969, -51.97510373996053], [-110.43263870279165, -52.497442041264904], 
[-106.3737001376646, -54.41053594040527], [-107.66522705268763, -55.022527604466035], [-108.95675396771065, -55.634519268526816], 
[-104.15871163621361, -58.94108795270937], [-105.45252915450865, -59.54291463938188], [-106.7463466728037, -60.144741326054366], 
[-102.72530233835911, -62.046798182686835], [-104.06401424573363, -62.58724745056924], [-105.40272615310815, -63.12769671845162], 
[-102.32587693991533, -64.00283632478035], [-103.74643404049135, -63.968258096833225], [-105.16594481345858, -63.886369647291765], 
[-103.0913598059596, -66.21872287440333], [-104.13075994143283, -65.31191635053813], [-105.12610689272611, -64.35573964729177], 
[-106.92079331202766, -68.80301896646166], [-107.64633961832081, -67.57645628369292], [-108.37188592461396, -66.34989360092418], 
[-110.74559287479894, -71.16341764055996], [-111.55257634136404, -69.98344599761656], [-112.25733686929954, -68.74088829629821], 
[-117.76655080844768, -75.45167665023482], [-118.42793580844767, -74.17927509038897], [-119.25196405223008, -73.00578255326948], 
[-122.34394163746951, -78.2401878380767], [-123.0215096775211, -76.97746087038901], [-123.69907771757268, -75.71473390270134], 
[-126.18904209751017, -80.58762006685859], [-126.90404581947892, -79.34884961941171], [-127.61904954144768, -78.1100791719648], 
[-128.45853311653272, -81.97128741572261], [-129.184190101198, -80.73748040623283], [-129.9098470858633, -79.50367339674307], 
[-130.1347512041934, -82.93691756679738], [-130.81637058991024, -81.68476147721078], [-131.49798997562706, -80.43260538762422], 
