inner_point, midpoint, outer_point, 
[-133.30137913433552, -49.989492141638934], [-133.33828632809687, -51.56074658119806], [-133.37519352185822, -53.13200102075719], 
[-89.03307082254854, -74.53525270859325], [-89.23456230656095, -76.05432072518042], [-89.43605379057335, -77.5733887417676], 
[-85.89580479660675, -74.81111760294112], [-86.13661486539837, -76.34357575112202], [-86.37742493419, -77.87603389930291], 
[-82.70321423850308, -75.81144116639504], [-83.55668027187727, -77.23678088749003], [-84.41014630525147, -78.66212060858501], 
[-80.10806067100647, -79.04935171336129], [-81.31106926630349, -80.09454643270266], [-82.5093478135362, -81.08268163946283], 
[-78.89843089628121, -82.60862854992936], [-80.30679601586075, -83.1359824875241], [-81.7151611354403, -83.66333642511883], 
[-78.02273486846767, -87.14894081228556], [-79.60746850788178, -87.21920953750057], [-81.19220214729587, -87.28947826271559], 
[-77.50548874595584, -90.30687250030957], [-79.15291220676991, -90.3418454004429], [-80.75811375308126, -90.62781015359406], 
[-77.79576773184587, -93.82795373921829], [-79.26723390588563, -93.21600976377178], [-80.73870007992541, -92.60406578832527], 
[-80.196828296623, -96.94156772296115], [-81.07788772726272, -95.80121003574693], [-82.24173140004831, -94.9341005168942], 
[-82.59416589372213, -98.56860087511707], [-83.2460314828383, -97.3292938025804], [-83.89789707195447, -96.08998673004372], 
[-86.31907131238438, -100.24635931638139], [-86.70997721003798, -98.85243612728043], [-87.10088310769156, -97.45851293817947], 
[-89.58023611910404, -101.04786266731287], [-89.68611548438784, -99.6436541529041], [-89.79199484967164, -98.23944563849531], 
[-93.58363561599077, -101.71102919557646], [-93.80036244698863, -100.39518054478488], [-94.01708927798649, -99.07933189399331], 
[-98.08074472462062, -102.34151684284224], [-98.14220188878403, -100.97991198712427], [-98.20365905294744, -99.6183071314063], 
[-101.74775544141878, -102.79062598503802], [-101.73519312493323, -101.38640761035482], [-101.72263080844769, -99.9821892356716], 
[-105.76726616852163, -103.28968692129213], [-106.00912128754476, -101.86950138499512], [-106.2509764065679, -100.44931584869809], 
[-110.351254105709, -103.92760098994657], [-110.45523360922905, -102.48812471845253], [-110.55921311274912, -101.04864844695848], 
[-113.21414933556903, -104.43234395833552], [-113.45264136843724, -103.01621698535753], [-113.69113340130545, -101.60009001237952], 
[-116.86135617996237, -104.98933399199704], [-117.32598092522576, -103.60869976899552], [-117.79060567048917, -102.22806554599399], 
[-121.1473174170576, -105.53041389462763], [-121.51463691855356, -104.13134263789476], [-121.88195642004953, -102.73227138116188], 
[-124.97778080844768, -105.91578366870434], [-125.31966009352601, -104.4595780512528], [-125.66153937860435, -103.00337243380126], 
[-129.2816332227629, -106.50472503660758], [-128.40114182495148, -104.59275053447705], [-127.85001348372678, -102.92384580389682], 
[-131.84798424250113, -103.20445069131218], [-130.4987406584761, -102.62655094310978], [-129.1494970744511, -102.04865119490735], 
[-132.53114348482836, -99.53042517189907], [-131.21813457029896, -99.49099715388952], [-129.90512565576952, -99.45156913587999], 
[-133.1892927923452, -95.89617702087746], [-131.94529754458728, -95.3725573799328], [-130.70130229682937, -94.84893773898816], 
[-134.08272341975706, -91.00333371502444], [-132.77676248519774, -90.73235620527151], [-131.4708015506384, -90.46137869551859], 
[-134.8863432834, -86.71172652648832], [-133.58430933118274, -86.28657308689004], [-132.2822753789655, -85.86141964729177], 
[-135.75402131278193, -82.25219973159167], [-134.43548419505316, -81.8494020577021], [-133.1169470773244, -81.44660438381251], 
[-136.74804966552358, -77.48996927510488], [-135.38988540741008, -77.17801930050763], [-134.03172114929654, -76.86606932591035], 
[-137.68236118179192, -73.45969509582068], [-136.2786803596362, -73.24664214224893], [-134.87499953748053, -73.03358918867718], 
[-138.5250621208991, -70.09717714235742], [-137.15665708387598, -69.71839499585542], [-135.78825204685288, -69.33961284935341], 
[-139.55496121657902, -66.81719942262377], [-138.21505066738177, -66.56537713178326], [-136.87514011818453, -66.31355484094276], 
[-140.61792964435733, -64.83094020167502], [-139.64906996983052, -63.988995922068476], [-138.68021029530374, -63.14705164246194], 
[-142.78768984884027, -62.11235172819955], [-141.66789992191897, -61.40762241517018], [-140.54810999499767, -60.702893102140834], 
[-145.51167472478906, -59.535204203065035], [-144.47036520337116, -58.58861117274022], [-143.42905568195326, -57.642018142415395], 
[-147.76038569738873, -57.54805385040364], [-146.69779486851374, -56.354361493342054], [-145.63520403963875, -55.16066913628046], 
[-150.35000943654646, -54.16399622131573], [-148.23535754983004, -54.243996293358634], [-146.32628415922926, -54.268923038650115], 
[-148.28821295479827, -50.5917459322588], [-146.9152947782775, -52.019171483435144], [-145.6718722912068, -53.45487669370847], 
[-145.37714853622984, -50.11418962230731], [-145.45164172015748, -51.77599805918564], [-145.52613490408513, -53.437806496063985], 
[-141.74294729070297, -50.05759155656088], [-141.4124348935216, -51.64048753956129], [-141.08192249634027, -53.22338352256172], 
[-137.90679080844768, -50.0250477248382], [-137.9761637923978, -51.61727648456609], [-138.04553677634792, -53.20950524429398], 
