# x_m,y_m,w_tr_right_m,w_tr_left_m
21.615066106345353,-0.9567503387378906,0.31,0.31
21.506777796331782,-1.2483243057343216,0.31,0.31
21.3629569012474,-1.5195603350105031,0.31,0.31
21.18449441542324,-1.7692120120722805,0.31,0.31
20.97228133319035,-1.9960329224255062,0.31,0.31
20.727208648879742,-2.198776651575997,0.31,0.31
20.450167356822465,-2.376196785029613,0.31,0.31
20.29866058044018,-2.4538879481140796,0.31,0.31
20.129904469957978,-2.534915571937738,0.31,0.31
19.804816134319577,-2.6668573928849426,0.31,0.31
19.458675876560996,-2.7656816164912854,0.31,0.31
19.05152749166957,-2.8347421479781687,0.31,0.31
18.543414774632645,-2.877392892567002,0.31,0.31
17.89438152043756,-2.896987755479195,0.31,0.31
16.59930281471943,-2.8923208292035056,0.31,0.31
15.381359803874751,-2.866643882881462,0.31,0.31
13.110458927030319,-2.818269729480754,0.31,0.31
11.430664735514739,-2.8162012369574043,0.31,0.31
10.877734373757203,-2.852645874573703,0.31,0.31
10.717285733549241,-2.884711559502257,0.31,0.31
10.600685794974586,-2.9139641338296585,0.31,0.31
10.38339230759659,-2.9863796045859985,0.31,0.31
10.185060722226131,-3.075583727108217,0.31,0.31
10.005551299176489,-3.1816834627785155,0.31,0.31
9.844724298760934,-3.304785772979116,0.31,0.31
9.702439981292747,-3.444997619092227,0.31,0.31
9.578558607085206,-3.602425962500078,0.31,0.31
9.47294043645159,-3.77717776458487,0.31,0.31
9.427688616908062,-3.87181188392767,0.31,0.31
9.385098625029748,-3.9676159904970305,0.31,0.31
9.326332208082295,-4.137144519761414,0.31,0.31
9.278908839118461,-4.4229648401636865,0.31,0.31
9.265064148973245,-4.731085364989504,0.31,0.31
9.25950244293621,-4.976815192409681,0.31,0.31
9.28103110433699,-5.410727681225502,0.31,0.31
9.305996701304508,-5.5560853649894995,0.31,0.31
9.346118064177926,-5.721067401143891,0.31,0.31
9.458328770018154,-6.027071295790925,0.31,0.31
9.60879402713628,-6.304219506562113,0.31,0.31
9.797394919049902,-6.552397066033315,0.31,0.31
