length: 171, 
centerline_x, centerline_y, left_w, right_w 
11.759381529315599, -36.559719554747176, 0.31, 0.31, 
11.514308845004992, -36.76246328389767, 0.31, 0.31, 
11.237267552947715, -36.93988341735128, 0.31, 0.31, 
11.085760776565431, -37.01757458043575, 0.31, 0.31, 
10.917004666083228, -37.09860220425941, 0.31, 0.31, 
10.591916330444826, -37.23054402520661, 0.31, 0.31, 
10.245776072686246, -37.329368248812955, 0.31, 0.31, 
9.83862768779482, -37.39842878029984, 0.31, 0.31, 
9.330514970757894, -37.44107952488867, 0.31, 0.31, 
8.681481716562809, -37.460674387800864, 0.31, 0.31, 
7.386403010844679, -37.456007461525175, 0.31, 0.31, 
6.168460000000001, -37.43033051520313, 0.31, 0.31, 
3.8975591231555686, -37.38195636180242, 0.31, 0.31, 
2.217764931639989, -37.379887869279074, 0.31, 0.31, 
1.6648345698824532, -37.41633250689537, 0.31, 0.31, 
1.5043859296744913, -37.44839819182393, 0.31, 0.31, 
1.387785991099836, -37.47765076615133, 0.31, 0.31, 
1.1704925037218405, -37.55006623690767, 0.31, 0.31, 
0.9721609183513813, -37.63927035942989, 0.31, 0.31, 
0.7926514953017385, -37.745370095100185, 0.31, 0.31, 
0.6318244948861835, -37.868472405300786, 0.31, 0.31, 
0.4895401774179966, -38.0086842514139, 0.31, 0.31, 
0.3656588032104562, -38.16611259482175, 0.31, 0.31, 
0.26004063257684074, -38.34086439690654, 0.31, 0.31, 
0.2147888130333122, -38.43549851624934, 0.31, 0.31, 
0.17219882115499807, -38.5313026228187, 0.31, 0.31, 
0.11343240420754519, -38.70083115208308, 0.31, 0.31, 
0.06600903524371127, -38.986651472485356, 0.31, 0.31, 
0.05216434509849499, -39.29477199731117, 0.31, 0.31, 
0.04660263906145978, -39.54050182473135, 0.31, 0.31, 
0.06813130046223925, -39.97441431354717, 0.31, 0.31, 
0.09309689742975813, -40.11977199731117, 0.31, 0.31, 
0.13321826030317574, -40.28475403346556, 0.31, 0.31, 
0.24542896614340393, -40.590757928112595, 0.31, 0.31, 
0.39589422326153034, -40.86790613888378, 0.31, 0.31, 
0.5844951151751516, -41.116083698354984, 0.31, 0.31, 
0.8111127254018591, -41.33517563910202, 0.31, 0.31, 
1.0756281374592458, -41.52506699370075, 0.31, 0.31, 
1.3779224348649066, -41.68564279472698, 0.31, 0.31, 
1.717876701136431, -41.81678807475657, 0.31, 0.31, 
1.9035008942854041, -41.870054884905386, 0.31, 0.31, 
2.08033241688414, -41.91558379521007, 0.31, 0.31, 
